Date X	Observation
16-Jan-2004	120
9-Apr-2009	64
1-Mar-2012	46
12-Apr-2012	51
26-Apr-2012	52
9-May-2012	53
1-Aug-2012	54
12-Sep-2012	68
12-Dec-2012	59
10-Apr-2013	68
31-Jul-2013	77
23-Oct-2013	86
4-Dec-2013	74
3-Jan-2014	83
15-Jan-2014	80
26-Feb-2014	49
2-Apr-2014	56
21-Apr-2014	65
14-May-2014	72
21-May-2014	60
28-May-2014	58
4-Jun-2014	63
16-Jun-2014	51
2-Jul-2014	44
18-Jul-2014	48
4-Aug-2014	53
20-Aug-2014	50
3-Sep-2014	53
17-Sep-2014	49
8-Oct-2014	50
29-Oct-2014	47
3-Dec-2014	48
18-Feb-2015	92
1-Apr-2015	90
8-Jul-2015	94
14-Oct-2015	103
15-Dec-2015	90
17-Feb-2016	90
20-Apr-2016	85
22-Jun-2016	93
31-Jan-2017	107
22-Feb-2017	104
5-Jul-2017	89
13-Nov-2017	88
18-Dec-2017	83
14-Feb-2018	101
18-Apr-2018	79
23-May-2018	77
8-Aug-2018	92
17-Oct-2018	87
